[header]
width=16
height=10
tilewidth=32
tileheight=32

[tilesets]
tileset=Source/denizen_tiles.bmp,32,32,0,0

[layer]
type=Слой тайлов 1
data=
207,41,41,41,41,174,187,174,173,188,187,174,187,173,188,174,
179,200,200,200,41,214,239,239,169,57,15,29,239,239,239,239,
239,41,41,41,41,214,239,239,127,43,57,85,71,183,197,221,
239,41,242,216,230,244,145,41,20,32,113,225,99,239,139,69,
239,41,41,41,41,41,34,242,41,214,57,141,155,239,139,179,
239,200,200,200,200,216,230,244,139,139,139,139,71,211,139,242,
239,239,239,239,239,239,239,239,239,239,177,139,214,239,139,214,
239,239,239,239,239,239,239,239,239,163,204,139,139,139,215,214,
239,239,239,239,239,239,239,239,239,239,51,77,91,216,230,244,
187,187,187,173,188,173,188,187,187,187,173,188,174,187,187,187

